name1,name2,percentage
moefaafj,dznlfmid,0
umocghyz,qbviwejm,34
zamoyuoe,htihxeat,7
iuppoxja,oihociwt,0
bepxivfq,ghzxqjks,10
ofoklixp,ymofnrrf,8
atsmvyfh,fgnmgwse,84
lmwisrvl,nfvelmft,36
fzxdylkh,jtpyvpru,44
piwfbsnm,xjqpkjzz,60
ahwaogax,kadhyrdp,40
uozgsxei,yggrqhok,44
dxtlxkgc,ernwlgzu,62
fiufyfro,frkoipls,76
naudctrf,vwwzdxuk,10
hhgzfqeh,iemidxmw,4
mzoylvoz,xsyfopws,30
xpjjuppk,dwekhqut,84
kxtrugyj,hyuinysh,88
mqzjakij,jotitqcs,65
mtvbkvkr,cynozpjr,65
obymutcw,igmrzxkn,0
yevsqhll,vfxerxjm,20
bqaccbnj,fntqqgec,40
otfsgfcn,xfejnnqt,24
wrmibnlj,bpzzlvtp,52
ritoyxtr,ffruqenc,86
ohdgotpz,kicurctb,45
uomxbrjf,btoxcvgq,6
wjoufuea,mdmlzzer,50
omdwqdwd,kdzqwped,54
ouxtpzvd,nhtzueip,92
fwniljsb,ttafldgu,17
xizhjdmg,jfkpmnsq,6
jmltgsll,famvpmpa,88
xfuhmqrk,sawqfalv,34
ubxmojee,selzaebg,35
lcsaijwy,xctxxlbx,70
jfienowj,rtvizees,20
nwwnsiqx,fymiwpeb,37
bdvhmwez,lzunrcek,38
iboadwly,ogjowqdr,43
chupbwkn,dhgsuqyq,76
xwwykpdz,bhumrgbr,40
cbacdmef,tgnqdrpu,25
nwczurle,yjdmcjjk,60
bdwepjop,gkwcidrh,9
ntjknpva,zbwsdfli,44
fuqxfymm,ydcaqpal,71
zpqrmwto,uklajcup,8
kapwwgcb,yqtqaoid,4
yawptsiz,nqqbmqgt,25
qmbsqpkj,bimtqzns,24
znnckwit,hzrmftmr,20
vzppnzjo,pglevdbb,94
bqyotgbw,uzvoxwsn,28
orngzacq,qnjxzhdl,27
agilpjab,zywqollq,90
uobjflch,wkpxsliw,25
xpvbcgot,mlemaxlz,98
cymllcow,aemsvtgf,14
jxsjmgey,hskyozsj,81
iucikxvv,famyabjd,70
vrkqtxtc,cdlrwebl,41
wibfohut,uinrumin,64
uhzwzxsr,jxutzqtw,57
dpomptvu,fnqvzpwn,70
nsbwqkzx,kyhwsmdf,8
ccmslxjn,jxkuwojc,10
dbkmcedj,jayabhxg,20
jbmczkmw,lyaiwzmm,10
riuxglew,anjmoqge,50
hreyyegq,rplvinuq,66
npgcuhly,fegvhkdt,74
ftrsdtgc,hqkaydst,45
ueatwrpj,nnxnrdwp,90
ugftmehn,ftfygfxd,92
efecjyxo,djguiaml,45
teuvpgrn,vuzereyu,1
iobtcqta,lqgtxrbv,50
rnilpqid,pdciipka,79
fxkewxyf,vvkrnvig,56
zkzoaclz,cbvalsgt,52
awsfzuuk,sneqkvel,8
uiisuwvv,bsqyihwm,76
htobacji,mxtdfnlk,92
yjphrpsp,eprpjwqs,32
ioqufopv,gnatedjr,83
pzclwssh,aieradxg,78
isceuqhl,pyikeoqh,88
wlanuzdc,icdtpcuv,52
gzzatzek,nghiekoi,40
afazfplz,imsobxoo,60
vgnhdhre,ukppgqca,40
tpvpnbnl,gpwilvdb,92
wsjxtxws,bcrnrhwb,80
azsarxkl,urswxwms,40
opiuesid,ozttbcjp,80
czhpnefa,xtvysndt,52
kpymcjsi,qrkskyah,72
rmlnlsnc,kijrmjqv,94
mndslwhb,ngzobxqg,40
runbbdbg,eybcsguk,18
gsriwbec,egmoklvs,88
lvslpyqy,zgsnhqrj,92
zibgebxj,rrhqncou,46
czjokysb,ywdtlxet,79
zazptwtf,ebxkplsb,54
ndsficyp,gblofzoy,64
wvdbqhvs,hblqnvqc,55
uoosjupl,lxqprfvz,73
nqzrbfwl,gxjfbrhc,56
jxghbeir,pphtgpdq,72
wnvtvbff,hbgrymvm,8
enktbyac,qtfmynlu,4
niffwqgk,jkcinboe,57
uqiukxem,xplzufmd,10
klhpqiwn,xdttfmxo,32
ljrufdyk,vevpcvzc,25
rhzbihcm,tfubvqlp,20
iqifzpvb,klslehlk,50
mwefjcxo,yxmyqtis,40
qcjgvfve,ktbbvhut,40
aalygdfo,vmpmaafv,18
nvmxolzl,ncvtxhho,92
xcyshnqb,ctwltrkm,40
jvpfkzin,wwayjkkn,52
garenjoi,ddybznef,38
pypfomsg,pozkunzv,15
qvxfuwve,euzfdzwa,40
dcjvamhw,vgkfkeif,40
xxszrfnw,lzydpgpv,12
fkaibpdo,llpifowa,84
sifxnpxd,vkapveoz,24
ohrglwcl,sjfwhbbt,28
qgfilfnz,zcvughto,50
ewfpwyfa,zsfdtqpr,62
trmlfcae,vugyjwrb,16
rspchbrs,vefkjilx,57
qtcfvmuw,ieiqkqzo,61
icdurmyp,ugxtvdgy,46
phvxfowk,kgivblea,41
wbqljsmn,iloonaey,92
fqzwmlqh,jguyugtn,70
hfoqupry,nqgkyvzh,12
pdwkrlih,ltfxcgli,9
whddhhae,eqfbevdk,60
agtetzhj,kvdztmot,35
wpdtqfbb,zckwjmim,8
whnvlojc,dqydleox,50
gknxuwyw,bumucsjz,28
kfriyhwr,unnofcdy,20
keunibpz,sjgwwuyo,92
ugksvgqf,iajggrcw,88
basosnfs,woejoiif,80
uzrzsrtt,cjrdgigb,8
bfajuhfp,ijzffzmi,74
hgfomeas,cmbzrtgo,24
juxcohub,mnecriey,20
mwzkgdrn,obxlreeh,88
kfiyuwma,rzdaiznp,14
orckpmfl,sbgwmkoy,46
ywckoppn,xptsahvy,73
fpqzqawz,jgkzafsd,0
clezvnjq,rjbctwmx,37
sygzqata,bbkppdvg,32
gxhvnryp,ocvtgibe,2
rmuchnzh,saofwheq,98
ubgtawlc,zmoghohi,33
yynkroxx,jbglktxh,88
ecabnwia,anpscswr,6
rwthwyjp,hhvjptva,25
vwopyqgu,pwnoncds,64
gxhifpmv,wohnomqy,54
ziaigmji,nwkfzolc,56
urapfinm,bqvkhufj,90
vywvpoqb,cseruvig,20
farebvlt,nfoetyjt,82
sfqteccg,rngyrrru,36
eirvqvqt,wqbrivkp,28
lvxcnyur,tvcoqnnn,9
uoofggie,uwmlnlev,70
rjkyubtz,vplorjtf,87
nlhxubhm,lxtaqqti,60
jrleawmb,bismygug,92
naabwyzr,pmwrstrz,38
emdzoxlm,qrqywlwk,20
qqqpvkgp,ffqezzwt,27
pyfauqeo,wvskzhzz,46
eoghfttv,xtekfonx,77
cykhgcnh,araqbedk,69
qsfmftms,ntlrwgrf,66
uctvcluq,hhqsfzkz,43
bkrnageh,ltuuejjo,88
zpxawfux,gihzdevb,59
luoktiok,jxbczuvx,0
avoosarb,rxbosbhi,65
bsydqasj,wirkgfkj,95
adjhfwyp,tutuzojv,3
toryhqgk,shlrwtvg,33
jemwhoza,kslsndwa,99
mjjeqppl,doagcrta,79
uuwcwqbd,rwvnkitx,38
rgfeavcq,vplchydh,2
wlmzspgz,qacadkpe,60
zjbbvqqs,ybacvgfg,3
gjiehgzb,idopdljj,16
obnrmsas,fuxidamf,88
qawmrhzt,hbankjiq,60
ofrqodys,bkgutoyp,95
stwzivww,jgcncrsp,14
azpqzfct,kyesyavg,89
oqxcvqwo,rihzhrxg,44
umgeygsk,poenpfwk,24
vltjhlqu,eccpzwig,0
yacelokk,ltrchqlw,31
ezmipjnr,bsmnrvcq,4
jlydinas,pndhhbiw,24
oexrgvns,relhmzds,16
nptwvoho,ojqquovx,9
imiidxih,paxsuubg,87
jrqsrqsa,jgzeiwog,90
cbswikzp,xudggnvz,61
dwkgdaax,lxoblnbp,95
hskqdlim,jqzgvmqi,29
dsjzqfdi,cgxjuimf,43
gsqomctc,keiibyns,30
acqjgidq,beoufmed,4
oltycfas,ysmedqzr,55
bmoyqwel,izfcrfji,0
vjbpalwd,eueztfqp,72
vvlfmphz,tsnpnlhe,68
pjknheuw,qemgrxtz,48
icepruil,qlwrcmik,14
jcutbhgc,gbofblqp,90
ruprumhy,thzefixq,64
hwmvdmgz,fxzelttk,28
rmlderys,ldidpmzq,58
rttmhsrr,ppkvfopf,52
gopbuuiu,lxiawxjv,40
vkjehsrv,khrieusx,89
duhmcknl,tmkrqodp,28
ljgobgbt,yrahrkfz,83
lqqmnxzi,xjbkjwoi,0
iskbvbia,wkldggbf,20
pgxpgcqi,ojwdvvpt,0
ullkjhtt,grzceqeb,82
fwuipdqr,audugdiw,56
sgmgucnq,ddowpguc,9
hdipqwoa,btnvlvlm,85
osorgoly,oycrzfav,96
kvervkvu,mlgpjsxd,0
wpsgbcqh,ldbowrvz,70
iujtjloi,gfiwacoe,38
bgwpnbzm,nsvzuiyv,46
ekfejhmb,dcuctvdi,12
bvzvyapx,ymdkfxac,30
btwhpqqz,cvnklxxe,51
xsvnrnpa,rdtomcmh,52
ixcbflrt,ubmbntbs,82
bjmfvila,dpvjmbgs,23
titwbfsb,ujatmylh,82
ojekzzhz,levedwdk,30
eftqvnjr,tjozajxw,60
qhbstuej,tqaybjjy,60
ibnzrxrr,skknlmfk,5
xovpmrvd,hpnhzlxh,68
sqhwrnyz,emejhoij,74
kustrdbf,dvtpovzp,21
latyhzwy,yosgfuop,36
pzcoszxq,zmmxfnci,64
gilznzru,zytpuwbi,10
njihoexw,wspmqouw,40
spnzumsw,ewjjjsiu,25
gkrpbidf,exwcykqh,44
pxhcnbca,lxwrckli,20
ovyltxyp,raxtpfeq,25
cpllhkrl,xbxxtmlw,0
dbjpjjuy,eztvdaem,24
jdmnqweo,rasxlhms,58
wudssotr,jetmqicr,41
dycznlom,kkjophyj,20
efdykwax,hbkjjbvy,86
mgppnytk,ygzyrdwe,90
qykxgnak,xplyufbr,76
qoxomzfm,axmyomml,48
ikmjejor,wykqamxu,77
frgfctlx,pqiigxxb,64
enlsnnhq,cfuuhgkd,79
jexzdtsk,gzaubkjy,77
ljaqljer,zkmvqrke,23
dsbrnxdb,wmpnrbit,65
czwpfflc,gswielqm,99
ptuavqlf,ckbymbtz,10
zgeikyhb,ulodeldw,4
brnaisyf,qxscfmtc,26
mczsbkok,esomccaq,92
sjfoxtve,ucbzptna,19
wupwjkva,zhazzqkn,15
oxtwekmd,xtsbbnbv,59
axtbgape,odoqavhd,76
xpuzsjkb,nfqkgcab,13
acjjasjx,dcogaype,24
hksjlsyp,pxgkdzmp,80
uwhznjwj,qtpurguq,15
owdtzkno,fkachtwd,24
jfoaychp,tyrljnbj,8
zzxtsesw,gacnzcqg,80
drjbhckv,jbgawaot,62
vwuvqljo,lxjxgrlf,10
uiyvbkuo,zsgzyphf,94
wgdbhovc,nocuxnlh,8
cgsvepuf,sbddzkbv,86
meqiwopg,dojfpkwu,2
odluuwso,qcyzzoon,82
ujttilgd,qynbzsdu,16
lrpfzcsr,yuwjmecv,40
boaufzdj,mkwzztto,66
kaffzptz,swhiirqu,60
ghadogmc,qmurkdqx,18
cnneabde,ejqmxebe,84
uspakiel,futenmtp,46
ttbavgrm,ublbplav,76
berdpipk,vkimummj,20
ubzoyrxd,qvevacnc,65
ndvbkmau,nwzvgskh,88
wpaordwz,iatuocrj,10
zzqaeohc,lgmdoqfw,85
flsxozfa,yanofsed,89
xxredinr,vthqnugl,76
qsbimyrd,kdvrsrco,50
cvqkyqly,tptdobal,0
dbddrqpe,pgcarhjq,24
cbdxmmzi,jxuxyiui,82
idxsaezv,sifhaiza,66
iyecyfrf,lgyrqsst,25
vohmvxwe,cywtefmd,0
kjpfevej,ezzyxgrg,18
llmbaurv,wfnaighj,74
ibicboch,ycealibw,12
zyvdhydu,xyygnesh,85
pnpzszoo,xsdvikcg,5
eohsvlqt,byzoqurn,16
cxyiitgi,fcdnzsqo,28
ftayurit,jphqtuxp,0
brexezmt,hfjurqis,56
crpukuzp,zogfqwuk,0
ecpypxoc,uzapvycn,0
htrokscm,uikebjhi,25
mevqmrec,rtopseou,8
dufreadn,kjxgzynl,77
ulbouflr,ctozyonr,0
paoxgmpb,amtpjepx,26
sigkqplq,bkxzvmxi,24
gfygkvat,liwzmgmj,27
mwfrtunq,qcdjdlgi,0
dhjvbqgr,sjxjlhnk,56
tivrrsyd,ehxwhygr,58
pqpsjthf,lkndagus,60
jptsmuxg,yduielcp,74
icebpupx,pxhjzouf,16
imbzeasq,dvzqvmwf,60
rqcedpkl,qhuplefg,40
szgucwky,opzugvnx,39
flwhmojd,uqjvxcjy,0
qtzyloxr,tvwausoq,50
wxnfroxm,kcfokpzg,15
rlhqwpaq,zukkbwke,40
itgbvyxv,iywvkiwd,6
seikkica,jdtfvtbf,88
aasrrjtq,lvzzayjk,72
tawifosz,ggxxfwnr,17
lrhpnlen,ybjphlhi,86
yjuvtqcb,lcsojzxl,32
ufdknvbx,jvegdgaa,0
rfyuevjj,bmgnesyy,30
numswtvr,xohaonnm,96
juranplf,dmtmcylq,50
wrmfnafn,uoogkbsz,92
chozhavy,foizrued,72
xqblrwhh,bsfyrqhh,80
ensostbf,bgxljazo,20
uuqrfnpp,zzeuvdqr,79
pwmruiuu,iiczohwl,30
hzarhwyx,smbmakmy,65
conkrdvg,aishrhyj,92
yvndgmtu,exynaarw,26
ewdvvcsr,oamueghc,44
btrxqafw,udgznjam,56
oywiiwsa,kxmzhdgo,92
gwbgmfqb,rayskvhn,70
hibejqxd,mbwqngmr,25
cmezvjxu,yexrpibt,4
lplyxtoe,vwlnxccn,51
zuxyfkzh,zfnchbyq,35
uqaqjtml,hwygwwml,58
csnjfjfw,nreqairh,22
zpxunhin,qlstdhdp,0
rysdvbcv,uaxhcgck,18
mnlzftxe,wlybndva,48
ajozpweo,dtumkakx,67
qvcnxjec,loddjzjw,52
jqcqegmx,kfusxpse,96
xxdmozwz,udzjcfvp,48
dpyufood,apqsthzo,60
jghaverq,bkmddvww,20
stcykqgr,cuxkflwk,52
kpqdvdrq,inyzfmqg,45
wlkwnrlj,mbcvbixm,96
usvmbpcq,fdvqlqik,46
yiytjnfw,qaqyrqtj,0
cogmcgec,rhgleiuy,52
vpkjmfbs,trkqaktg,91
lesvzdkm,imcpvqtn,60
kgcecisy,cthpzcuz,50
xprnwuzk,zwhjcuyx,68
tziowxpo,vrmtuhdw,52
bvylrczx,bvojfqit,0
lyydohwa,ktoyddga,55
oqjtgndq,mqdixaqh,92
gyhrrxwx,hwlndccp,65
voznlzta,gvxnfwrh,60
wrvveuqy,dojebajd,99
szhjoskj,skqjpcat,90
tebkdawm,qniqxxor,82
uddnpgaq,bgjnstyv,24
rnfufuja,fdukqzex,30
kvodadxy,tyalpwqg,86
bjvkeesb,iewecbwm,44
qbevnudm,ukwpeymp,68
dviyvhum,kkqzodkq,60
ncakezmh,aoinxlkl,34
zbdiehcp,jfbnrttn,52
rtliyewb,hysnfoxc,24
zoihpbaz,jamwuevn,67
egohvvkk,nflgexdl,88
lclufasi,bezoasao,52
olmhjfpc,jhfgjnjm,46
toshssms,szhcwvng,0
sjrddzru,uqblbqbo,28
rwayirsr,fsihgjxj,39
zhkjojfx,mxitkfwj,52
qaqyvrgp,izycshau,80
hqigyitc,hqinkgit,58
mljgyoua,ggdpfcro,68
eeijlxrs,ahqpwawi,20
wpyrpzjj,aaadswcg,24
uqhreapv,vazntifu,12
thmgckmr,ldvlqtqb,14
unrerfps,whqjqbux,50
jaycsrun,xyeohmkd,67
wbbkuyvr,czakeuem,76
qiuygkaz,uxayjhhs,40
rznfucgc,qjiqqoqn,44
tpnaelem,vadsikye,56
ppuzlvhi,sccjxtux,16
uhxlsvlv,imbhyclp,48
dyljpjas,syenwnnz,20
hhefomlk,pfoxfjnp,50
csivlnws,blfitaxm,95
ayqsgkoe,ksbhfisp,44
